id;title;maker;culture;period;creation_date;object_name;medium;description;credit_line;filename;dimensions;element_type;size_s_m_l
10504;Egyptian tablet (detail);Wayne Wadhams;;;1978;photograph;gelatin silver print;;Gift of Wayne N. Wadhams;87_16_114.jpg;image: 13 1/4 x 19 7/16 in. (33.6 x 49.4 cm);image;medium
7945;The Co-Founder of the Word O.K.--Hollywood;Ger van Elk;;;1971;photograph;color photograph;triptych;Gift of Frederieke S. Taylor;89_21_11_a.jpg;Overall: 14 1/8 x 11 13/16 in. (35.9 x 30 cm);Overall;medium
8086;The Co-Founder of the Word O.K.--Hollywood;Ger van Elk;;;1971;photograph;color photograph;triptych;Gift of Frederieke S. Taylor;89_21_11_b.jpg;Overall: 14 x 11 5/8 in. (35.6 x 29.5 cm);Overall;medium
15757;A Woman in Blue;Keisai Yeisen;;;no date;print;woodblock print | paper;;Gift of Ivey St. John;RC_81_1.jpg;(sight): 14 x 9 1/2 in. (35.6 x 24.1 cm)frame: 17 1/2 x 13 3/8 x 1/2 in. (44.5 x 34 x 1.3 cm);;
17788;"Kinryuzan Temple at Asakusa (Asakusa Kinryuzan) (from the series ""One Hundred Famous Views of Edo"" (Meisho Edo hyakkei))";Hiroshige;;;1856;print;color woodblock print;Number 99 in the series;Gift of Ivey St. John;RC 81_2.jpg;(sight): 13 3/8 x 8 7/8 in. (34 x 22.5 cm)frame: 20 3/8 x 15 3/4 x 3/4 in. (51.8 x 40 x 1.9 cm);;
21577;A Geisha-girl standing with green robe;Yeisan;;;no date;print;woodblock print | paper;;Gift of Ivey St. John;RC_81_3.jpg;(sight): 14 x 9 1/2 in. (35.6 x 24.1 cm)frame: 18 1/2 x 13 1/2 x 1/2 in. (47 x 34.3 x 1.3 cm);;
17789;[A Woman in Blue];Yeisan;;;no date;print;woodblock print | paper;;Gift of Ivey St. John;RC_81_4.jpg;(sight): 14 1/2 x 9 7/8 in. (36.8 x 25.1 cm)frame: 20 1/2 x 15 3/16 x 1/2 in. (52.1 x 38.6 x 1.3 cm);;
16997;[A Woman in Blue in Landscape];Hiroshige;;;ca. 1843-46;print;color woodblock print;;Gift of Ivey St. John;RC_81_5.jpg;(sight): 9 1/2 x 7 in. (24.1 x 17.8 cm)frame: 17 1/2 x 12 3/4 x 1/2 in. (44.5 x 32.4 x 1.3 cm);;
16871;"Kameyama (from the series ""Fifty-three Stations of the Tokaido"" (Tokaido gojusan tsugi no uchi))";Hiroshige;;;1831-34;print;color woodblock print;Station number 47. Cedar trees in snow.;Gift of Ivey St. John;RC_81_6.jpg;(sight): 8 1/2 x 12 3/8 in. (21.6 x 31.4 cm)frame: 12 1/4 x 17 1/2 x 1/2 in. (31.1 x 44.5 x 1.3 cm);;
16709;[Three Figures in landscape with flower border and text];Persian;;;16th Century;painting;opaque watercolor | gold | on paper;;Gift of Ivey St. John;RC_81_7.jpg;(sight): 8 1/4 x 5 in. (21 x 12.7 cm)frame: 12 3/4 x 9 5/8 x 1/2 in. (32.4 x 24.4 x 1.3 cm);;
